Tanggal,Bendungan_Katulampa,Pos_Depok,Manggarai_BKB,PA_Karet,Pos_Krukut_Hulu,Pos_Pesanggrahan,Pos_Angke_Hulu,Waduk_Pluit,Pasar_Ikan_Laut,Pos_Cipinang_Hulu,Pos_Sunter_Hulu,Pulo_Gadung
"Sabtu, 07 Januari 2023, 19:00",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"Sabtu, 07 Januari 2023, 20:00",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
"Sabtu, 07 Januari 2023, 21:00",30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
"Sabtu, 07 Januari 2023, 22:00",30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
"Sabtu, 07 Januari 2023, 23:00",30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
"Minggu, 08 Januari 2023, 00:00",20.0,100.0,625.0,260.0,40.0,70.0,50.0,-190.0,170.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 01:00",20.0,100.0,625.0,260.0,40.0,70.0,50.0,-190.0,164.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 02:00",20.0,100.0,625.0,260.0,40.0,70.0,50.0,-190.0,170.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 03:00",20.0,100.0,625.0,260.0,40.0,70.0,50.0,-190.0,179.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 04:00",20.0,100.0,625.0,250.0,40.0,70.0,50.0,-190.0,182.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 05:00",20.0,100.0,625.0,250.0,40.0,70.0,50.0,-190.0,200.0,80.0,90.0,330.0
"Minggu, 08 Januari 2023, 06:00",20.0,100.0,625.0,250.0,40.0,70.0,50.0,-190.0,202.0,80.0,70.0,330.0
"Minggu, 08 Januari 2023, 07:00",20.0,100.0,625.0,260.0,40.0,70.0,50.0,-190.0,214.0,80.0,80.0,330.0
"Minggu, 08 Januari 2023, 08:00",20.0,100.0,625.0,260.0,30.0,70.0,50.0,-190.0,224.0,80.0,80.0,330.0
"Minggu, 08 Januari 2023, 09:00",20.0,95.0,625.0,260.0,30.0,70.0,40.0,-190.0,233.0,100.0,70.0,330.0
"Minggu, 08 Januari 2023, 10:00",20.0,95.0,625.0,270.0,30.0,70.0,40.0,-190.0,245.0,100.0,70.0,330.0
"Minggu, 08 Januari 2023, 11:00",20.0,95.0,625.0,270.0,30.0,70.0,40.0,-190.0,240.0,100.0,60.0,330.0
"Minggu, 08 Januari 2023, 12:00",20.0,95.0,625.0,270.0,40.0,70.0,40.0,-185.0,234.0,100.0,60.0,330.0
"Minggu, 08 Januari 2023, 13:00",20.0,95.0,625.0,270.0,40.0,70.0,40.0,-185.0,228.0,100.0,60.0,330.0
"Minggu, 08 Januari 2023, 14:00",20.0,95.0,625.0,270.0,40.0,70.0,40.0,-185.0,205.0,100.0,60.0,330.0
"Minggu, 08 Januari 2023, 15:00",30.0,90.0,625.0,270.0,40.0,70.0,40.0,-185.0,192.0,100.0,90.0,330.0
"Minggu, 08 Januari 2023, 16:00",30.0,95.0,620.0,270.0,40.0,70.0,40.0,-185.0,180.0,90.0,60.0,330.0
