Datetime,Tanggal,Beban_PLTU4,Beban_PLTU5,MVAR_PLTU4,MVAR_PLTU5,Total_Beban_PLTU,Total_MVAR_PLTU,Beban_GTG1_1,Beban_GTG1_2,Beban_GTG1_3,Beban_STG1_1,MVAR_GTG1_1,MVAR_GTG1_2,MVAR_GTG1_3,MVAR_STG1_1,Total_Beban_Blok1,Total_MVAR_Blok1,Beban_GTG2_1,Beban_GTG2_2,Beban_STG2_1,Beban_STG2_2,Beban_STG2_3,MVAR_GTG2_1,MVAR_GTG2_2,MVAR_STG2_1,MVAR_STG2_2,MVAR_STG2_3,Total_Beban_Blok2,Total_MVAR_Blok2,Beban_GTG3_1,Beban_STG3_1,MVAR_GTG3_1,MVAR_STG3_1,Total_Beban_Blok3,Total_MVAR_Blok3,Total_Beban_UnitEksisting,Total_MVAR_UnitEksisting,Total_Beban_UnitAMC,Total_MVAR_UnitAMC,Total_Beban_UPMKR,Total_MVAR_UPMKR,Total_Frekuensi_UPMKR
2023-01-18 17:51:58.296326,"Thursday, 10 November 2022",0,0,0,0,0,0,97,79,0,80,-11,-6,0,-11,256,-28,146,-3,37,35,0,32,-3,8,8,0,216,45,227,128,4,1,355,5,256,-28,570,50,826,22,49.95
2023-01-18 19:30:23.736123,"Wednesday, 18 January 2023",0,0,0,0,0,0,0,0,96,39,0,0,2,0,136,2,164,-3,40,38,0,13,-3,7,7,0,240,24,251,133,-39,-21,384,-60,136,2,624,-36,759,-35,50.0
